ООО Рога и копыта, 2015, 2020, Консультант 1С, Установка и настройка 1С:Предприятие, Внедрение новых функциональностей, Поддержка пользователей, roga_i_kopyta
ООО JavaRush, 2019, 2021, Java-разработчик, Разработка и поддержка Java-приложений, Тестирование и отладка кода, Участие в архитектурных решениях, javarush_ooo
ПАО Газпромнефть, 2016, 2023, Инженер-расчетчик, Расчет и проектирование нефтяных скважин, Анализ и оптимизация процессов добычи, Участие в подготовке технической документации, gazpromneft
ПАО Сбербанк, 2017, 2022, Менеджер по продажам, Привлечение новых клиентов, Управление портфелем клиентов, Консультирование по финансовым продуктам, sberbank
ООО Яндекс, 2020, 2023, Data Scientist, Анализ данных, Разработка моделей машинного обучения, Визуализация результатов, yandex
ПАО Ростелеком, 2018, 2021, Системный администратор, Установка и настройка серверов, Обеспечение безопасности сети, Поддержка пользователей, rostelecom
ПАО Лукойл, 2016, 2019, Инженер-технолог, Разработка технологических процессов, Контроль качества продукции, Оптимизация производственных процессов, lukoil
ОАО MAIL_group, 2017, 2020, Web-разработчик, Разработка и поддержка веб-приложений, Оптимизация производительности, Тестирование и отладка кода, mailru_group
ОАО РЖД, 2015, 2022, Инженер-электрик, Обслуживание и ремонт электрооборудования, Участие в проектировании систем электроснабжения, Выполнение плановых работ, rzd
ПАО Газпромбанк, 2016, 2021, Финансовый аналитик, Анализ финансовой отчетности, Разработка бизнес-планов, Управление рисками, gazprombank
ООО Kaspersky, 2018, 2023, Инженер по кибербезопасности, Мониторинг и обнаружение угроз, Разработка и внедрение систем защиты, Анализ и реагирование на инциденты, kaspersky_lab
ПАО МегаФон, 2017, 2022, Системный аналитик, Анализ и оптимизация бизнес-процессов, Разработка требований к системам, Взаимодействие с разработчиками, megafon
ПАО Роснефть, 2016, 2021, Геолог, Поиск и разведка месторождений, Интерпретация геологических данных, Оценка запасов углеводородов, rosneft
ПАО Тинькофф Банк, 2017, 2023, Аналитик рисков, Оценка кредитного потенциала клиентов, Разработка моделей скоринга, Мониторинг и управление рисками, tinkoff_bank
ООО Яндекс.Такси, 2020, 2022, Продуктовый менеджер, Анализ рынка и конкурентов, Разработка и внедрение новых продуктов, Управление жизненным циклом продукта, yandex_taxi
